unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,solvent
perrin_supp4224,Cc1ccc(C2CC2N)cc1,"InChI=1S/C10H13N/c1-7-2-4-8(5-3-7)9-6-10(9)11/h2-5,9-10H,6,11H2,1H3",pKaH1,8.33,25,,O1,Approximate,F9,,,"cyclopropane, trans-1-amino-2-(4-methyl)phenyl-",['manual_no_smiles'],1,,perrin_supp,,AH,,
perrin3338,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",pKaH1,3.63,25,"""Mixed"" constant, I=0.15(NaCl)",E3bg,Approximate,A55,,,Adenosine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,AH,,
serjeant5208,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",pKaH1,1.9,25,Other values in H29,CAL,Uncertain,C52,Thermodynamic quantities are also given, Other values in H29,Guanosine,['manual_inconsistent'],1,"Purine-6(1H)-one, 2-amino-9-(β-D-ribofuranosyl)-",serjeant,,AH,,
perrin_supp4223,COc1ccc(C2CC2N)cc1,"InChI=1S/C10H13NO/c1-12-8-4-2-7(3-5-8)9-6-10(9)11/h2-5,9-10H,6,11H2,1H3",pKaH1,8.32,25,,O1,Approximate,F9,,,"cyclopropane, trans-1-amino-2-(4-methoxy)phenyl-",['manual_no_smiles'],1,,perrin_supp,,AH,,
perrin574,COC(=O)c1cccc(N(C)C)c1,"InChI=1S/C10H13NO2/c1-11(2)9-6-4-5-8(7-9)10(12)13-3/h4-7H,1-3H3",pKaH1,3.86,25,,Cat.,Uncertain,C57,,,"aniline, 3-methoxycarbonyl-N,N-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin575,COC(=O)c1ccc(N(C)C)cc1,"InChI=1S/C10H13NO2/c1-11(2)9-6-4-8(5-7-9)10(12)13-3/h4-7H,1-3H3",pKaH1,2.52,25,,Cat.,Uncertain,J13,,,"aniline, 4-methoxycarbonyl-N,N-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin573,COC(=O)c1ccccc1N(C)C,"InChI=1S/C10H13NO2/c1-11(2)9-7-5-4-6-8(9)10(12)13-3/h4-7H,1-3H3",pKaH1,3.78,25,,Cat.,Uncertain,C57,,,"aniline, 2-methoxycarbonyl-N,N-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp7735,COC(=O)C[C@@H](N)c1ccccc1,"InChI=1S/C10H13NO2/c1-13-10(12)7-9(11)8-5-3-2-4-6-8/h2-6,9H,7,11H2,1H3/t9-/m1/s1",pKaH1,7.05,25,Corrected from I=0.1 (KCl) f+=0.772,E3bg,Approximate,H26,,,β-Phenylalanine methyl ester,['manual_inconsistent'],1,,perrin_supp,,AH,,
perrin3259,COC(=O)C(N)Cc1ccccc1,"InChI=1S/C10H13NO2/c1-13-10(12)9(11)7-8-5-3-2-4-6-8/h2-6,9H,7,11H2,1H3",pKaH1,7,25,"I=0.05 to 0.20, C=0.004","E3bg, R4",Approximate,A60,,,DL-Phenylalanine methyl ester,"['OPSIN_name1', 'pubchem_name1', 'pubchem_nickname']",3,,perrin,,AH,,
perrin3272,CCOC(=O)CNc1ccccc1,"InChI=1S/C10H13NO2/c1-2-13-10(12)8-11-9-6-4-3-5-7-9/h3-7,11H,2,8H2,1H3",pKaH1,2.08,25,C=10-4,O6,Approximate,S41,,,Phenylglycine ethyl ester,"['OPSIN_name1', 'manual_only_one']",2,,perrin,,AH,,
perrin606,CCCOC(=O)c1ccc(N)cc1,"InChI=1S/C10H13NO2/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6H,2,7,11H2,1H3",pKaH1,2.487,25,C=6x10-5,O1,Approximate,R23,,,"aniline, 4-propoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin708,CC(N)Cc1ccc2c(c1)OCO2,"InChI=1S/C10H13NO2/c1-7(11)4-8-2-3-9-10(5-8)13-6-12-9/h2-3,5,7H,4,6,11H2,1H3",pKaH1,9.67,25,C=0.0006 to 0.002,E3d,Approximate,L14,,,"benzene, 1-(2-amino)propyl-3,4-methylenedioxy-","['chemaxon_name1', 'manual_only_one']",2,,perrin,,AH,,
perrin_supp7765,COC(=O)[C@@H](N)Cc1ccc(O)cc1,"InChI=1S/C10H13NO3/c1-14-10(13)9(11)6-7-2-4-8(12)5-3-7/h2-5,9,12H,6,11H2,1H3/t9-/m0/s1",pKaH1,7.09,25,Corrected from I=0.1(KCl); f+= 0.772,E3bg,Approximate,H26,,,Tyrosine methyl ester,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,AH,,
perrin3311,COc1ccc(C[C@H](N)C(=O)O)cc1,"InChI=1S/C10H13NO3/c1-14-8-4-2-7(3-5-8)6-9(11)10(12)13/h2-5,9H,6,11H2,1H3,(H,12,13)/t9-/m0/s1",pKaH1,2.21,25,"I=0.16, ""mixed"" constant","E3bg, R4",Approximate,M21,,,"tyrosine, O-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1']",3,,perrin,,AH,,
perrin_supp4408,CCOC(=O)COc1ccc(N)cc1,"InChI=1S/C10H13NO3/c1-2-13-10(12)7-14-9-5-3-8(11)4-6-9/h3-6H,2,7,11H2,1H3",pKaH1,5.09,25,Insufficient details,E,Uncertain,L28,,,"aniline, 4-ethoxycarbonylmethoxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp7731,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,"InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1",pKaH1,2.218,25,Low values of I,E,,H14,,,"phenylalanine, α-methyl-3,4-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin2933,CN1CCC[C@H]1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",pKaH1,8.02,25,"C=0.026, as dihydrochloride",E3bh,Approximate,V15,," Other measurements: B6, K48",Nicotine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,AH,,
perrin_supp5484,c1ccc(CC2NCCN2)cc1,"InChI=1S/C10H14N2/c1-2-4-9(5-3-1)8-10-11-6-7-12-10/h1-5,10-12H,6-8H2",pKaH1,10.58,25,,E3bg,Approximate,V11,,,"imidazolidine, 2-phenylmethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin1250,c1ccc(CN2CCCC2)nc1,"InChI=1S/C10H14N2/c1-2-6-11-10(5-1)9-12-7-3-4-8-12/h1-2,5-6H,3-4,7-9H2",pKaH1,8.56,25,"C=0.01, as dihydrobromide",E3dg,Uncertain,B14,,,"pyridine, 2-(1-pyrrolidinylmethyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin1251,c1cncc(CN2CCCC2)c1,"InChI=1S/C10H14N2/c1-2-7-12(6-1)9-10-4-3-5-11-8-10/h3-5,8H,1-2,6-7,9H2",pKaH1,8.36,25,"C=0.01, as dihydrobromide",E3dg,Uncertain,B14,,,"pyridine, 3-(1-pyrrolidinylmethyl)-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,AH,,
perrin1252,c1cc(CN2CCCC2)ccn1,"InChI=1S/C10H14N2/c1-2-8-12(7-1)9-10-3-5-11-6-4-10/h3-6H,1-2,7-9H2",pKaH1,8.16,25,"C=0.01, as dihydrobromide",E3dg,Uncertain,B14,,,"pyridine, 4-(1-pyrrolidinylmethyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin674,CCC(O)(C(=N)N)c1ccccc1,"InChI=1S/C10H14N2O/c1-2-10(13,9(11)12)8-6-4-3-5-7-8/h3-7,13H,2H2,1H3,(H3,11,12)",pKaH1,11.06,25,"I=0.1, ""mixed"" constants","E3bg, R3h",Approximate,G41,,,"benzene, (1-amidino-1-hydroxy)propyl-",['manual_no_smiles'],1,,perrin,,AH,,
perrin_supp4527,c1ccc(NN2CCOCC2)cc1,"InChI=1S/C10H14N2O/c1-2-4-10(5-3-1)11-12-6-8-13-9-7-12/h1-5,11H,6-9H2",pKaH1,3.2,25,,O,Uncertain,F12,,,"aniline, N-morpholino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin490,CCN(CC)c1ccc(N=O)cc1,"InChI=1S/C10H14N2O/c1-3-12(4-2)10-7-5-9(11-13)6-8-10/h5-8H,3-4H2,1-2H3",pKaH1,4.11,25,5% ethanol solution,O5,Uncertain,K10,,,"aniline, N,N-diethyl-4-nitroso-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,25?,ethanol
perrin_supp4381,CCN(CC)c1ccc([N+](=O)[O-])cc1,"InChI=1S/C10H14N2O2/c1-3-11(4-2)9-5-7-10(8-6-9)12(13)14/h5-8H,3-4H2,1-2H3",pKaH1,1.75,25,,O6,Approximate,E1,,,"aniline, N,N-diethyl-4-nitro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp8222,CCOC(=O)c1ccc(N(C)N)cc1,"InChI=1S/C10H14N2O2/c1-3-14-10(13)8-4-6-9(7-5-8)12(2)11/h4-7H,3,11H2,1-2H3",pKaH1,4.15,25,C=0.001M,E3dg,Approximate,S56,,,"hydrazine, 1-(p-ethoxycarbonylphenyl)-1-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp8221,CCOC(=O)c1cccc(N(C)N)c1,"InChI=1S/C10H14N2O2/c1-3-14-10(13)8-5-4-6-9(7-8)12(2)11/h4-7H,3,11H2,1-2H3",pKaH1,4.45,25,C=0.001M,E3dg,Approximate,S56,,,"hydrazine, 1-(m-ethoxycarbonylphenyl)-1-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp8220,CCOC(=O)c1ccccc1N(C)N,"InChI=1S/C10H14N2O2/c1-3-14-10(13)8-6-4-5-7-9(8)12(2)11/h4-7H,3,11H2,1-2H3",pKaH1,4.91,25,C=0.001M,E3dg,Uncertain,S56,,,"hydrazine, 1-(o-ethoxycarbonylphenyl)-1-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin618,Cc1c(C)c([N+](=O)[O-])c(C)c(C)c1N,"InChI=1S/C10H14N2O2/c1-5-7(3)10(12(13)14)8(4)6(2)9(5)11/h11H2,1-4H3",pKaH1,2.36,25,“Mixed” constant,O5,Uncertain,W21,,,"aniline, 2,3,5,6-tetramethyl-4-nitro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp4302,CCCCOc1ccc(N)c([N+](=O)[O-])c1,"InChI=1S/C10H14N2O3/c1-2-3-6-15-8-4-5-9(11)10(7-8)12(13)14/h4-5,7H,2-3,6,11H2,1H3",pKaH1,0.78,25,In aq. HCl,O5,Approximate,S16,,,"aniline, 4-butoxy-2-nitro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin430,CC(C)(C)Nc1ccccc1,"InChI=1S/C10H15N/c1-10(2,3)11-9-7-5-4-6-8-9/h4-8,11H,1-3H3",pKaH1,7,25,C=0.002,E3dg,Approximate,G21,,,"aniline, N-t-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin433,CC(C)(C)c1ccc(N)cc1,"InChI=1S/C10H15N/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7H,11H2,1-3H3",pKaH1,4.95,25,I=0.003 to 0.005,E3dg,Approximate,W22,,,"aniline, 4-t-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin432,CC(C)(C)c1cccc(N)c1,"InChI=1S/C10H15N/c1-10(2,3)8-5-4-6-9(11)7-8/h4-7H,11H2,1-3H3",pKaH1,4.66,25,"C=0.001, I=0.02",O5,Approximate,B142,,,"aniline, 3-t-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin431,CC(C)(C)c1ccccc1N,"InChI=1S/C10H15N/c1-10(2,3)8-6-4-5-7-9(8)11/h4-7H,11H2,1-3H3",pKaH1,5.03,25,C=0.001,E3dg,Approximate,G21,,,"aniline, 2-t-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin697,CC(C)(CN)c1ccccc1,"InChI=1S/C10H15N/c1-10(2,8-11)9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3",pKaH1,10.03,25,C=0.01,E3dg,Approximate,G21,,,"benzene, (2-aminomethyl)isopropyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin,,AH,,
perrin429,CCCCc1ccccc1N,"InChI=1S/C10H15N/c1-2-3-6-9-7-4-5-8-10(9)11/h4-5,7-8H,2-3,6,11H2,1H3",pKaH1,4.26,25,,,,K37,,,"aniline, 2-n-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp4303,CCCCNc1ccccc1,"InChI=1S/C10H15N/c1-2-3-9-11-10-7-5-4-6-8-10/h4-8,11H,2-3,9H2,1H3",pKaH1,5.44,25,,O,Uncertain,F12,,,"aniline, N-n-butyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp4607,CCCC(N)c1ccccc1,"InChI=1S/C10H15N/c1-2-6-10(11)9-7-4-3-5-8-9/h3-5,7-8,10H,2,6,11H2,1H3",pKaH1,9.45,25,"C=0.001M, as hydrochloride pH at half-neutralisation",E3bg,Uncertain,D10,,,"benzene, (1-aminobutyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin818,CCCNCc1ccccc1,"InChI=1S/C10H15N/c1-2-8-11-9-10-6-4-3-5-7-10/h3-7,11H,2,8-9H2,1H3",pKaH1,9.58,25,C=0.02,E3dh,Approximate,C9,,,"benzylamine, N-propyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1']",3,,perrin,,AH,,
perrin_supp4374,CCN(CC)c1ccccc1,"InChI=1S/C10H15N/c1-3-11(4-2)10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",pKaH1,6.57,25,I=0.004,E3bg,Approximate,A56,,,"aniline, N,N-diethyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,AH,,
perrin617,Cc1cc(C)c(C)c(N)c1C,"InChI=1S/C10H15N/c1-6-5-7(2)9(4)10(11)8(6)3/h5H,11H2,1-4H3",pKaH1,4.3,25,I=0.003 to 0.005,O5,Approximate,W21,,,"aniline, 2,3,5,6-tetramethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp4131,C#CC(C)(C)NC(C)(C)C#C,"InChI=1S/C10H15N/c1-7-9(3,4)11-10(5,6)8-2/h1-2,11H,3-6H3",pKaH1,6.45,25,Insufficient details,,Uncertain,H30,,,"propane, 2-ethynyl-2-(1,1-dimethylpropargyl)amino-","['chemaxon_name1', 'manual_only_one']",2,,perrin_supp,,AH,,
perrin_supp4645,CC(C)C(N)c1ccccc1,"InChI=1S/C10H15N/c1-8(2)10(11)9-6-4-3-5-7-9/h3-8,10H,11H2,1-2H3",pKaH1,9.85,25,"C=0.001M, as hydrochloride pH at half-neutralisation",E3bg,Uncertain,D10,,,"benzene, (1-amino-2-methyl)propyl-",['manual_no_smiles'],1,,perrin_supp,,AH,,
perrin616,Cc1cccc(C)c1N(C)C,"InChI=1S/C10H15N/c1-8-6-5-7-9(2)10(8)11(3)4/h5-7H,1-4H3",pKaH1,5.82,25,"C=0.001, extrapolation from water, ethanol mixtures",E3dg,Approximate,G21,,,"aniline, N,N,2,6-tetramethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin675,CC(N)CCc1ccccc1,"InChI=1S/C10H15N/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6,9H,7-8,11H2,1H3",pKaH1,9.79,25,C=0.0006 to 0.002,E3d,Approximate,L14,,,"benzene, (3-amino)butyl-",['manual_inconsistent'],1,,perrin,,AH,,
perrin777,CNC(C)Cc1ccccc1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pKaH1,9.87,25,C=0.0006 to 0.002,E3d,Approximate,L14,,,"benzene, (2-methylamino)propyl-","['chemaxon_name1', 'manual_only_one']",2,,perrin,,AH,,
perrin_supp4879,CC(C)NCc1ccccc1,"InChI=1S/C10H15N/c1-9(2)11-8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pKaH1,9.69,25,"I=0.2(NaCl) ""mixed"" constant",E3bg,Approximate,R22a,,,"benzylamine, N-isopropyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1']",4,,perrin_supp,,AH,,
perrin561,CC(C)CNc1ccccc1,"InChI=1S/C10H15N/c1-9(2)8-11-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pKaH1,4.43,25,"C=0.001, extrapolation from water, ethanol mixtures",E3dg,Approximate,G21,,,"aniline, N-isobutyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin779,CNCC(C)c1ccccc1,"InChI=1S/C10H15N/c1-9(8-11-2)10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3",pKaH1,9.88,25,C=0.0006 to 0.002,E3d,Approximate,L14,,,"benzene, (1-methyl-2-methylamino)ethyl-",['manual_no_smiles'],1,,perrin,,AH,,
perrin_supp4892,Cc1ccc(CN(C)C)cc1,"InChI=1S/C10H15N/c1-9-4-6-10(7-5-9)8-11(2)3/h4-7H,8H2,1-3H3",pKaH1,9.22,25,"I=0.2(NaCl), ""mixed"" constant",E3bg,Approximate,R22a,,,"benzylamine, N,N,4-trimethyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin_supp,,AH,,
perrin677,NCCCCc1ccccc1,"InChI=1S/C10H15N/c11-9-5-4-8-10-6-2-1-3-7-10/h1-3,6-7H,4-5,8-9,11H2",pKaH1,10.36,25,C=0.02,E3dh,Approximate,C9,,,"benzene, (4-amino)butyl-",['manual_inconsistent'],1,,perrin,,AH,,
