ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction
144,C13H21N3O2,tertiary,CCCCN(CCO)CCC(=O)c1cnccn1,4,base,pKAH1,8.45,chembl,WQXRWWQZZFKINP-UHFFFAOYSA-N,8.17818129234114
148,C10H13N3,secondary,c1cncc(N2C[C@H]3C[C@@H]2CN3)c1,11,base,pKAH1,9.67,chembl,ZGHKBXCWIZHPBZ-PSASIEDQSA-N,9.187566044620146
152,C11H13N3O,primary,NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,4,base,pKAH1,7.97,chembl,JLSKPBDKNIXMBS-VIFPVBQESA-N,8.243626890691132
161,C9H12N2O,primary,NC(=O)C(N)Cc1ccccc1,4,base,pKAH1,8.02,chembl,OBSIQMZKFXFYLV-UHFFFAOYSA-N,8.194185848451403
193,C11H17NO2,primary,COc1ccc(OC)c(CC(C)N)c1,12,base,pKAH1,9.91,chembl,LATVFYDIBMDBSY-UHFFFAOYSA-N,9.876012922950306
202,C11H14N2O,secondary,CNCCc1c[nH]c2ccc(O)cc12,1,base,pKAH1,10.44,chembl,ASUSBMNYRHGZIG-UHFFFAOYSA-N,9.661454018281884
205,C4H10N2O,primary,NCCC(=O)CN,0,base,pKAH1,9.67,chembl,ODANWMOQWMHGCY-UHFFFAOYSA-N,9.488624594915512
228,C9H7N5,primary,NC1N=Nc2nc3ccccc3nc21,5,base,pKAH1,3.7,chembl,HNQOBXLEAKVVES-UHFFFAOYSA-N,7.867183499080324
250,C9H13NO2,primary,COc1ccccc1C(O)CN,11,base,pKAH1,9.06,chembl,ILFKFOKAPPGUOP-UHFFFAOYSA-N,8.604733097624244
257,C9H13N3O,tertiary,Cc1noc(C23CCN(CC2)C3)n1,8,base,pKAH1,8.49,chembl,NHUBSAODMUQWLR-UHFFFAOYSA-N,8.220173842737095
260,C10H14N2O,secondary,Cc1cncc(OC[C@@H]2CCN2)c1,11,base,pKAH1,9.79,chembl,DEFPVUIYITVQJX-VIFPVBQESA-N,8.824137325323498
274,C12H16N4O,primary,CC(CCN)c1nc2c(C(N)=O)cccc2[nH]1,4,base,pKAH1,10.01,chembl,MKNKKIXKJWXBHM-UHFFFAOYSA-N,8.65363248479572
275,C12H18N2O,tertiary,Cc1cncc(OC[C@@H]2CCCN2C)c1,12,base,pKAH1,8.75,chembl,MEIQBWLEAFDUMI-NSHDSACASA-N,8.708460795078539
290,C10H16N2O,secondary,C[C@H]1C[C@@H]1C(=O)N1CC2CC(C1)N2,12,base,pKAH1,9.13,chembl,INYNWEUTASDACG-KRTGUUSXSA-N,9.282071098625739
291,C13H20N4O,tertiary,CN1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1,1,base,pKAH1,7.42,chembl,SQCWABLHLAOJBR-UHFFFAOYSA-N,8.566350026442011
310,C12H18N2,tertiary,CN(C)CCC1CNc2ccccc21,1,base,pKAH1,9.61,chembl,QJONJVMVPXLFKY-UHFFFAOYSA-N,8.924452942635284
319,C13H17N7O2,tertiary,Nc1n[nH]c(N2CCN(Cc3ccccc3[N+](=O)[O-])CC2)n1,0,base,pKAH1,6.45,chembl,RVIGRNPOSDKUJO-UHFFFAOYSA-N,8.005685676292517
324,C13H23N5,tertiary,CCCCNc1nccc(N2CCN(C)CC2)n1,4,base,pKAH1,7.57,chembl,QLBSQTJGCWXOKH-UHFFFAOYSA-N,8.626840282110814
325,C12H12N4O,primary,Cn1cc(-c2noc(CN)n2)c2ccccc21,9,base,pKAH1,6.9,chembl,HGUPNPBJRNMJIH-UHFFFAOYSA-N,7.910319354224522
338,C11H20N2O3,primary,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,5,base,pKAH1,8.43,chembl,VTJUNIYRYIAIHF-IUCAKERBSA-N,8.00013215068896
339,C10H13NO,primary,C=C(CN)c1cccc(OC)c1,3,base,pKAH1,9.17,chembl,URPZVARDAICSOI-UHFFFAOYSA-N,9.471767511710867
345,C10H14N2O,primary,C[C@@H](N)C(=O)NCc1ccccc1,2,base,pKAH1,8.39,chembl,VRHPVAHXPQMOJZ-MRVPVSSYSA-N,8.411171274594459
348,C7H15NO2,tertiary,CC1OCC(CN(C)C)O1,6,base,pKAH1,8.51,chembl,KHUCQBZVGWVHNJ-UHFFFAOYSA-N,8.395110479222874
355,C13H15N7,tertiary,CN1CCN(c2nc3ncccc3n3cnnc23)CC1,1,base,pKAH1,7.42,chembl,YVRBEXPZVHWNLE-UHFFFAOYSA-N,8.32166102698555
357,C11H18N2O,secondary,O=C(C1CCCC1)N1CC2CC(C1)N2,13,base,pKAH1,9.13,chembl,JWEOQIUDCVEFPL-UHFFFAOYSA-N,9.54308847451855
368,C11H11N3O2,secondary,Oc1nc2ccc3c(c2nc1O)CCNC3,14,base,pKAH1,8.86,chembl,SIAMYJHXBZULSQ-UHFFFAOYSA-N,9.068900222563895
376,C12H25NO5,secondary,C1COCCOCCOCCOCCOCCN1,17,base,pKAH1,9.08,chembl,NBXKUSNBCPPKRA-UHFFFAOYSA-N,8.704696122292601
395,C11H14N4,secondary,c1ccc2[nH]c(N3CCNCC3)nc2c1,9,base,pKAH1,8.84,chembl,NZXGDKLTTHIYTB-UHFFFAOYSA-N,8.820658813702437
398,C8H17N3O2,secondary,NC(=O)C(CCO)N1CCNCC1,10,base,pKAH1,8.92,chembl,MTMLZDTYEUFDOY-UHFFFAOYSA-N,9.618087340112098
405,C11H15N3O,primary,NCc1ccc(N2CCNC(=O)C2)cc1,0,base,pKAH1,9.41,chembl,HHTYQKRMCZUXLU-UHFFFAOYSA-N,9.632282660346362
407,C9H13N,secondary,CNCCc1ccccc1,1,base,pKAH1,10.13,chembl,SASNBVQSOZSTPD-UHFFFAOYSA-N,9.712184198118756
418,C9H14N2O,secondary,CNCCOc1ccc(C)nc1,1,base,pKAH1,9.48,chembl,KBXQNMZLSJVCHO-UHFFFAOYSA-N,9.281086536187741
431,C12H19NO3,secondary,CNCCc1cc(OC)c(OC)c(OC)c1,1,base,pKAH1,10.03,chembl,OTXANOLOOUNVSR-UHFFFAOYSA-N,9.439716739139888
442,C10H13NO3,primary,COc1c(CCN)ccc2c1OCO2,6,base,pKAH1,9.71,chembl,AXEJSBWWIHAWJM-UHFFFAOYSA-N,9.811540577707028
450,C10H13N,secondary,c1ccc(C2CCNC2)cc1,7,base,pKAH1,10.99,chembl,PRRFFTYUBPGHLE-UHFFFAOYSA-N,9.735013278460613
451,C11H20N2O,primary,CN(C)Cc1ccc(CCCCN)o1,1,base,pKAH1,10.21,chembl,QWPCWVKOWZSMMU-UHFFFAOYSA-N,10.165885822895474
469,C12H18N4O4,tertiary,O=c1[nH]cnc2c(CN(CCO)C[C@H](O)CO)c[nH]c12,8,base,pKAH1,7.14,chembl,LNNMXGVBXFJDJN-VIFPVBQESA-N,7.881780276027372
473,C6H11NO,tertiary,CN1CC=C[C@H](O)C1,1,base,pKAH1,8.66,chembl,GLDHZKQYHDFALD-LURJTMIESA-N,8.961136497859142
474,C9H19N3O,secondary,CC(C)NC(=O)CN1CCNCC1,10,base,pKAH1,8.92,chembl,FFOHTSTWXWJGQR-UHFFFAOYSA-N,9.721192754772941
495,C11H17N3,tertiary,CN1CCN(c2cccc(N)c2)CC1,1,base,pKAH1,8.0,chembl,RJGHJWKQCJAJEP-UHFFFAOYSA-N,8.724735381923896
504,C9H10N2O2,primary,N[C@@H]1Cc2ccccc2N(O)C1=O,0,base,pKAH1,7.39,chembl,HYTRYTZFJVVZAF-SSDOTTSWSA-N,7.816370927606068
539,C10H20N2O2,primary,CCCCOC(=O)N1CCC(N)CC1,11,base,pKAH1,9.98,chembl,HMDBMDJJDOEYHK-UHFFFAOYSA-N,10.124297788116909
588,C8H13N5,secondary,CCn1nnc(C2=CCCNC2)n1,10,base,pKAH1,8.85,chembl,KWCDFRUNFDIIQT-UHFFFAOYSA-N,8.543917071561186
604,C8H16N2,primary,CN1[C@@H]2CC[C@H]1C[C@@H](N)C2,8,base,pKAH1,10.33,chembl,HJGMRAKQWLKWMH-RNLVFQAGSA-N,9.966275118188332
613,C5H14N2O,primary,NCCCNCCO,4,base,pKAH1,10.07,chembl,GHKSKVKCKMGRDU-UHFFFAOYSA-N,10.180606775479424
621,C9H11NO,secondary,Oc1cccc2c1CCNC2,9,base,pKAH1,8.53,chembl,OMZHCCXUVSEGAD-UHFFFAOYSA-N,9.019559966264328
624,C12H19NO3,tertiary,CO/C(O)=C1/C(=O)CCC2CCCC1N2C,14,base,pKAH1,8.95,chembl,IKTURBPPBUKHMG-VAWYXSNFSA-N,8.622612224350881
625,C9H13NO,primary,C[C@H](N)[C@H](O)c1ccccc1,2,base,pKAH1,9.37,chembl,DLNKOYKMWOXYQA-CBAPKCEASA-N,8.745954840091914
657,C12H17NO2,tertiary,CN(C)CC1CCc2c1ccc(O)c2O,1,base,pKAH1,9.14,chembl,AYTFWINRWVAOKT-UHFFFAOYSA-N,8.708477046157851
724,C12H23NO9,secondary,OC[C@H]1NC[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,3,base,pKAH1,7.99,chembl,CQLSQWAVFSEMIE-ZDLXXCOVSA-N,8.001929214596647
738,C9H19NO4,tertiary,CCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,3,base,pKAH1,8.35,chembl,DUKKBXHYYSHSAI-BZNPZCIMSA-N,8.447036090325573
765,C9H14N4O3,tertiary,C[C@@H]([C@H](O)Cn1ccnc1[N+](=O)[O-])N1CC1,8,base,pKAH1,5.79,chembl,MBFSEKWTSIQCCD-JGVFFNPUSA-N,7.702401807454019
774,C7H15NO5,secondary,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3,base,pKAH1,7.6,chembl,CLVUFWXGNIFGNC-OVHBTUCOSA-N,7.89599815921976
778,C10H18N4O2,secondary,CCCc1cn(C[C@H]2NC[C@@H](O)[C@H]2O)nn1,8,base,pKAH1,9.34,chembl,NCDYRVHMNRRUOD-BBBLOLIVSA-N,8.11456664289222
780,C6H13NO3,secondary,OC[C@H]1CNC[C@H](O)[C@@H]1O,4,base,pKAH1,8.8,chembl,QPYJXFZUIJOGNX-NGJCXOISSA-N,8.555552448583128
781,C13H19N7O4,primary,NCCC(=O)NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0,base,pKAH1,9.12,chembl,MKAUNSCZSZKQKW-ZRFIDHNTSA-N,7.990714784966151
784,C11H15NO4,secondary,OC[C@@H]1N[C@@H](c2ccc(O)cc2)[C@H](O)[C@H]1O,3,base,pKAH1,8.41,chembl,BRPXIQPSCKPBLH-NAKRPEOUSA-N,8.017308512385442
789,C11H16N2O,secondary,Oc1ccccc1CN1CCNCC1,8,base,pKAH1,9.49,chembl,GQRQDGSWNXOCNK-UHFFFAOYSA-N,9.083385589631604
810,C12H18N2O5,primary,CCOC(=O)/C=C/OC(=O)[C@@H]1CCCN1C(=O)CN,18,base,pKAH1,8.13,chembl,MXNXCDMAPBMFBL-IWGCBNPKSA-N,9.073026664449827
865,C7H10N4O2,primary,Cn1ncc2c1N(O)C(=O)[C@@H](N)C2,11,base,pKAH1,7.15,chembl,OETBHDOEBPITJA-YFKPBYRVSA-N,7.868197590909676
870,C11H15N,secondary,CCC1Cc2ccccc2CN1,11,base,pKAH1,9.29,chembl,DQJWABGLXUIRKS-UHFFFAOYSA-N,9.274270331711707
888,C13H20N2O2,tertiary,CC(c1cccc(OC(=O)N(C)C)c1)N(C)C,14,base,pKAH1,8.8,chembl,AIHREYCBCYOMLZ-UHFFFAOYSA-N,8.206928874385493
900,C10H12N2O2,secondary,C[C@@H]1Cc2ccc([N+](=O)[O-])cc2CN1,13,base,pKAH1,8.61,chembl,OTVSEAHLIUCIKT-SSDOTTSWSA-N,8.483406607987797
910,C8H15NO5,tertiary,O[C@H]1[C@H](O)[C@@H](O)CN2C[C@@H](O)[C@@H](O)[C@H]12,7,base,pKAH1,8.39,chembl,KSWHMQGAWBUNLD-XAZAIFFQSA-N,8.267486021768095
912,C13H14N6O,primary,NCc1ccc(COc2nc(N)nc3nc[nH]c23)cc1,0,base,pKAH1,9.23,chembl,UINSGVKWAFJDPI-UHFFFAOYSA-N,9.370070318408219
919,C12H17N,secondary,c1ccc(CC2CCNCC2)cc1,8,base,pKAH1,10.35,chembl,ABGXADJDTPFFSZ-UHFFFAOYSA-N,10.126137147447638
920,C12H19NO2,primary,CCc1cc(OC)c(CCN)cc1OC,10,base,pKAH1,9.71,chembl,VDRGNAMREYBIHA-UHFFFAOYSA-N,9.941115699017915
921,C13H20N2O2,secondary,CC(C)CNCCOC(=O)c1ccc(N)cc1,4,base,pKAH1,9.67,chembl,WDICTQVBXKADBP-UHFFFAOYSA-N,8.693020622362356
922,C12H20N4,tertiary,CCCCn1ncc(C2=CCCN(C)C2)n1,12,base,pKAH1,7.58,chembl,HEKVOINWLJKTDK-UHFFFAOYSA-N,8.566651362181501
923,C8H12N2O4,primary,Cc1onc(O)c1CCC(N)C(=O)O,10,base,pKAH1,7.85,chembl,NZDIZJGEDFARSV-UHFFFAOYSA-N,7.82383343288017
927,C11H17NO,secondary,CN[C@H](C)Cc1ccc(OC)cc1,1,base,pKAH1,10.2,chembl,UGFMBZYKVQSQFX-SECBINFHSA-N,9.421128788028147
929,C12H26N4O5,primary,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,15,base,pKAH1,9.43,chembl,QBWLTQZEVUXXSR-RROBTUQGSA-N,9.4386829445479
939,C10H12N2,primary,NCCc1c[nH]c2ccccc12,0,base,pKAH1,9.73,chembl,APJYDQYYACXCRM-UHFFFAOYSA-N,9.72643929313687
942,C13H19N,primary,CC(N)Cc1ccc2c(c1)CCCC2,2,base,pKAH1,10.04,chembl,UTVKUFYOPJCDPE-UHFFFAOYSA-N,10.358739564511755
963,C13H15NO,secondary,CNCCOc1cccc2ccccc12,1,base,pKAH1,9.5,chembl,GYIQQYDOLSGVHC-UHFFFAOYSA-N,9.194466000620622
966,C13H16N4O,tertiary,CN1CCN(C(=O)c2cc3ncccc3[nH]2)CC1,1,base,pKAH1,6.81,chembl,JMKTUMJDFXQICK-UHFFFAOYSA-N,8.239933736476365
967,C7H11NO2,secondary,COC(=O)C1=CCCNC1,8,base,pKAH1,8.75,chembl,DYPLDWLIOGXSSE-UHFFFAOYSA-N,8.805729264237023
975,C10H15NO,tertiary,CN(C)CCOc1ccccc1,1,base,pKAH1,8.77,chembl,RUHVDRGWCIAFLG-UHFFFAOYSA-N,8.605560554740789
1003,C11H12N2,secondary,c1ccc2c3c([nH]c2c1)CCNC3,11,base,pKAH1,9.16,chembl,RPROHCOBMVQVIV-UHFFFAOYSA-N,9.067035994906773
1018,C6H13NO3,secondary,OC[C@@H]1CNC[C@@H](O)[C@@H]1O,4,base,pKAH1,8.8,chembl,QPYJXFZUIJOGNX-KVQBGUIXSA-N,8.643079416175652
1037,C12H21N3,secondary,c1nc(CCCCNC2CCCC2)c[nH]1,7,base,pKAH1,10.87,chembl,AVZAABIFUPTQRO-UHFFFAOYSA-N,10.266285478655151
1066,C5H9N3O2,secondary,C[C@@H]1NCC(=O)NNC1=O,2,base,pKAH1,5.21,chembl,IDXYLWSVKOVBBS-VKHMYHEASA-N,7.953378218045491
1071,C8H18N2O,primary,CC(=O)NCCCCCCN,10,base,pKAH1,10.21,chembl,WRJPJZTWQTUPQK-UHFFFAOYSA-N,10.326134172093724
1077,C9H13NO,tertiary,CN1CCCC1c1ccco1,1,base,pKAH1,8.59,chembl,KMVFIIBYOFOADI-UHFFFAOYSA-N,9.43180687029695
1086,C11H17NO,secondary,CN[C@@H](C)Cc1ccc(OC)cc1,1,base,pKAH1,10.2,chembl,UGFMBZYKVQSQFX-VIFPVBQESA-N,9.394624797190183
1089,C9H15NO2,tertiary,CC(=O)O[C@@H]1CN2CCC1CC2,6,base,pKAH1,9.17,chembl,WRJPSSPFHGNBMG-SECBINFHSA-N,8.710660585251016
1092,C13H18N2,tertiary,Cc1cccc2c(CCN(C)C)c[nH]c12,9,base,pKAH1,9.59,chembl,PQSFTUCFMWBITK-UHFFFAOYSA-N,8.991399210258967
1096,C12H18N4O4,tertiary,O=c1[nH]cnc2c(CN(CCO)C[C@@H](O)CO)c[nH]c12,8,base,pKAH1,7.14,chembl,LNNMXGVBXFJDJN-SECBINFHSA-N,8.04903498311117
1102,C12H17N3O3,tertiary,COc1cc(N2CCN(C)CC2)ccc1[N+](=O)[O-],8,base,pKAH1,7.47,chembl,MKTFAOFIZMORTQ-UHFFFAOYSA-N,8.017059882782714
1103,C12H14N2,secondary,c1ccc2c(c1)cc1n2CCNCC1,11,base,pKAH1,9.49,chembl,XORPZYQOYUSNCQ-UHFFFAOYSA-N,8.945381748320456
1107,C12H19NO3,primary,COc1cc(CC(C)N)c(OC)c(OC)c1,8,base,pKAH1,9.89,chembl,MJIBJXKJBRLSQA-UHFFFAOYSA-N,9.84659519342905
1113,C4H9NO2,primary,CCOC(=O)CN,6,base,pKAH1,7.09,chembl,NTNZTEQNFHNYBC-UHFFFAOYSA-N,8.642174501347059
1120,C11H15NO,primary,CC(N)Cc1ccc2c(c1)OCC2,2,base,pKAH1,10.01,chembl,VRNGXHJGMCJRSQ-UHFFFAOYSA-N,9.87129144574519
1123,C9H18N2,secondary,C=CCNCCCNCC=C,3,base,pKAH1,9.86,chembl,AXZLGJYOBMKFHV-UHFFFAOYSA-N,9.069451278369058
1129,C12H20N4O2,tertiary,CCN1CCN(CC(=O)Nc2cc(C)on2)CC1,5,base,pKAH1,7.45,chembl,FPQJFGAWHCQCMF-UHFFFAOYSA-N,8.032323419704456
1136,C13H19NO,secondary,CC(NC(C)(C)C)C(=O)c1ccccc1,2,base,pKAH1,8.29,chembl,JQNSRSIGKZYQAA-UHFFFAOYSA-N,8.266713730147917
1140,C11H15NO,primary,COc1cccc2c1CCC(N)C2,11,base,pKAH1,10.01,chembl,SIHPGAYIYYGOIP-UHFFFAOYSA-N,9.898095292281722
1145,C12H20N2,secondary,C=C=CCNCCCCNCC=C=C,9,base,pKAH1,9.81,chembl,IKSQCMLJDHRWOA-UHFFFAOYSA-N,8.603647620463267
1150,C11H15NO,secondary,CCC(NC)C(=O)c1ccccc1,3,base,pKAH1,8.18,chembl,DDPMGIMJSRUULN-UHFFFAOYSA-N,8.172504871013134
1151,C13H17N,tertiary,C=CCN(CC=C)Cc1ccccc1,3,base,pKAH1,8.21,chembl,LAVWIZQBXPOEEM-UHFFFAOYSA-N,9.018118003286169
1152,C13H21NO2,primary,CC[C@@H](N)Cc1cc(OC)c(C)cc1OC,3,base,pKAH1,9.97,chembl,MLYCFWZIAJAIGW-LLVKDONJSA-N,9.890481187077393
1156,C13H20N2,secondary,CNCc1cccc(N2CCCCC2)c1,1,base,pKAH1,9.45,chembl,WHELHMLNRPDTJU-UHFFFAOYSA-N,9.22937413928205
1158,C10H16N2,tertiary,CN(C)CCCc1cccnc1,1,base,pKAH1,9.56,chembl,ZJINUQHUNJMQFN-UHFFFAOYSA-N,8.924473538638239
1159,C12H19N3O,tertiary,CCCN1CCO[C@@H]2Cc3n[nH]cc3C[C@H]21,3,base,pKAH1,7.69,chembl,MMWBZHVPEPJHJM-VXGBXAGGSA-N,8.679672945645295
1167,C13H19NO2,primary,COc1cc2c(cc1CC(C)N)OC(C)C2,11,base,pKAH1,9.93,chembl,XBHKBTCXRYPZMX-UHFFFAOYSA-N,9.848789041039932
1184,C10H21NO4,secondary,C1COCCOCCOCCOCCN1,14,base,pKAH1,9.08,chembl,BJUOQSZSDIHZNP-UHFFFAOYSA-N,9.065388297838497
1199,C13H21NO3,secondary,CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c(O)c1,3,base,pKAH1,9.01,chembl,HUYWAWARQUIQLE-GXFFZTMASA-N,8.68126677525623
1204,C11H18N2O,tertiary,CCCCN(C)Cc1ncccc1O,4,base,pKAH1,8.75,chembl,GTRIKVRGSOKKKJ-UHFFFAOYSA-N,8.529698807484392
1212,C3H10N2O,primary,NCCCON,0,base,pKAH1,10.14,chembl,VSZFWDPIWSPZON-UHFFFAOYSA-N,10.036706779486533
1216,C13H16N2,secondary,Cn1c2c(c3ccccc31)CCNCC2,12,base,pKAH1,10.06,chembl,ZBXDOQWPGBISAR-UHFFFAOYSA-N,9.374300207897438
1221,C10H15N,primary,Cc1ccc(CC(C)N)cc1,8,base,pKAH1,10.04,chembl,ZDHZDWSHLNBTEB-UHFFFAOYSA-N,9.880197002724271
1225,C13H21NO3,primary,CCOc1c(OC)cc(CC(C)N)cc1OC,12,base,pKAH1,10.0,chembl,AHLXCGRWNKUNTQ-UHFFFAOYSA-N,9.848672510090159
1231,C9H12N4O,primary,CC1=C2C(=O)NC(N)N=C2N(C)C=C1,8,base,pKAH1,2.19,chembl,SAKRAQLCQWKSKE-UHFFFAOYSA-N,7.762761470640729
1232,C13H19NO2,tertiary,COc1ccc(OC)c2c1CC(N(C)C)C2,12,base,pKAH1,9.03,chembl,ISEMFVAEPPOTQF-UHFFFAOYSA-N,8.612084886820798
1239,C11H18N2O2,tertiary,COC(=O)N(C)CC#CCN1CCCC1,10,base,pKAH1,8.18,chembl,UDECXXFMDMEIDF-UHFFFAOYSA-N,8.298762277908514
1252,C12H21N5,primary,NCCNc1nccc(N2CCCCCC2)n1,0,base,pKAH1,9.61,chembl,JCUKFHHQQDCCBU-UHFFFAOYSA-N,10.024805173235846
1279,C8H11N,primary,C[C@H](N)c1ccccc1,2,base,pKAH1,9.52,chembl,RQEUFEKYXDPUSK-ZETCQYMHSA-N,9.575670580005998
1292,C10H13NO,primary,N[C@H]1CCc2ccccc2[C@@H]1O,0,base,pKAH1,9.42,chembl,IIMSEFZOOYSTDO-UWVGGRQHSA-N,8.805525464739842
1297,C9H12N2,secondary,CNC/C=C\c1cccnc1,1,base,pKAH1,9.39,chembl,CDZIJYWPNIJNOT-RQOWECAXSA-N,8.838022509102467
1305,C10H15NO,secondary,CNC(C)C(O)c1ccccc1,1,base,pKAH1,9.52,chembl,KWGRBVOPPLSCSI-UHFFFAOYSA-N,8.920141201855134
1317,C12H15N3,primary,Cc1n[nH]cc1-c1ccc(CCN)cc1,12,base,pKAH1,9.77,chembl,ILTOXASLQDKYJW-UHFFFAOYSA-N,9.68767126119331
1333,C7H10N2,primary,NCCc1ccncc1,0,base,pKAH1,9.74,chembl,IDLHTECVNDEOIY-UHFFFAOYSA-N,9.571971290548145
1347,C9H11NO2,secondary,Oc1cc2c(cc1O)CNCC2,9,base,pKAH1,8.44,chembl,MBFUSGLXKQWVDW-UHFFFAOYSA-N,9.025881725221103
1367,C9H15NO3,primary,C#CCO[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,7,base,pKAH1,9.65,chembl,IKBVKYPYCBJDFE-RBXMUDONSA-N,8.15027126531363
1386,C9H12N2,secondary,c1cncc(C2CCCN2)c1,9,base,pKAH1,9.92,chembl,MYKUKUCHPMASKF-UHFFFAOYSA-N,8.98235839226353
1406,C13H22N2O3,primary,C=CC(N)CCC(=O)N1CCC(C(=O)OC)CC1,3,base,pKAH1,9.68,chembl,QIRUJVYGLHYPSW-UHFFFAOYSA-N,8.013105995651767
1416,C12H29N3,secondary,CNCCCCCNCCCCCNC,7,base,pKAH1,11.1,chembl,CQPPTKPCYJLWNF-UHFFFAOYSA-N,10.593240195720327
1446,C12H23NO4,tertiary,CC(O)CC[C@@H]1CC[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)N12,16,base,pKAH1,9.43,chembl,CGZUVSCEWJVPBT-LVZGIILASA-N,8.386704846284148
1470,C12H17N,tertiary,Cc1ccccc1C1CCCN1C,11,base,pKAH1,9.72,chembl,JRZMWCKLABIBLI-UHFFFAOYSA-N,9.274491750805703
1503,C13H19NO2,primary,COc1cc(CCN)c(OC)c2c1CCC2,7,base,pKAH1,9.71,chembl,DUYSKWSFDDDWQI-UHFFFAOYSA-N,9.937382389780089
1517,C8H12N2O2,tertiary,O=C1CN2CCCC[C@H]2C(=O)N1,3,base,pKAH1,4.47,chembl,FAHMPBBZKRHWJJ-LURJTMIESA-N,6.611221847122445
1550,C9H10N4O4,primary,NC(Cc1c(O)noc1-c1ncc[nH]1)C(=O)O,0,base,pKAH1,7.14,chembl,MJVXTLMESKYRAU-UHFFFAOYSA-N,7.639632516062529
1554,C8H11NO2,primary,NC[C@H](O)c1ccc(O)cc1,0,base,pKAH1,8.98,chembl,QHGUCRYDKWKLMG-QMMMGPOBSA-N,8.601997169912508
1560,C6H16N2,primary,CN(C)CCCCN,7,base,pKAH1,10.35,chembl,GCOWZPRIMFGIDQ-UHFFFAOYSA-N,10.463823500816803
1574,C12H15NO3,secondary,CNC(C)C(=O)c1ccc2c(c1)OCCO2,1,base,pKAH1,7.97,chembl,MRFMNGZRIIBJTB-UHFFFAOYSA-N,7.884737343170294
